Taxon_Orig,OTU_TolAnal_v1,OTU_Regional_2025,Monotypic,Notes
SIMULIUM VERNUM,SIMULIUM VERNUM,SIMULIUM,,
SIMULIUM VIOLATOR,SIMULIUM VIOLATOR,SIMULIUM,,
Simulium vittatum,SIMULIUM VITTATUM COMPLEX,SIMULIUM,,
Simulium vittatum complex,SIMULIUM VITTATUM COMPLEX,SIMULIUM,,
Simulium vittatum Gr.,SIMULIUM VITTATUM COMPLEX,SIMULIUM,,
Simulium vittatum group,SIMULIUM VITTATUM COMPLEX,SIMULIUM,,
Simulium vittatum species complex,SIMULIUM VITTATUM COMPLEX,SIMULIUM,,
Sinella curviseta,DNI,COLLEMBOLA,,
Siphloneurus sp.,SIPHLONURUS,SIPHLONURUS,,
Siphlonirus sp.,SIPHLONURUS,SIPHLONURUS,,
SIPHLONURIDAE,SIPHLONURIDAE,SIPHLONURIDAE,,
Siphlonuris sp.,SIPHLONURUS,SIPHLONURUS,,
SIPHLONURUS,SIPHLONURUS,SIPHLONURUS,,
Siphlonurus alternatus,SIPHLONURUS ALTERNATUS,SIPHLONURUS,,
SIPHLONURUS MARSHALLI,SIPHLONURUS MARSHALLI,SIPHLONURUS,,
Siphlonurus marshalli Traver,SIPHLONURUS MARSHALLI,SIPHLONURUS,,
Siphlonurus phyllis,SIPHLONURUS PHYLLIS,SIPHLONURUS,,
SIPHLONURUS QUEBECENSIS,SIPHLONURUS QUEBECENSIS,SIPHLONURUS,,
SIPHLONURUS RAPIDUS,SIPHLONURUS RAPIDUS,SIPHLONURUS,,
Siphlonurus sp,SIPHLONURUS,SIPHLONURUS,,
Siphlonurus sp.,SIPHLONURUS,SIPHLONURUS,,
Siphlonurus sp. (quebecensis (Provancher)),SIPHLONURUS QUEBECENSIS,SIPHLONURUS,,
Siphlonurus sp. (rapidus McDunnough),SIPHLONURUS RAPIDUS,SIPHLONURUS,,
Siphlonurus sp. sp.,SIPHLONURUS,SIPHLONURUS,,
SIPHLONURUS TYPICUS,SIPHLONURUS TYPICUS,SIPHLONURUS,,
SIPHLOPLECTON,SIPHLOPLECTON,SIPHLOPLECTON,,
SIPHLOPLECTON BASALE,SIPHLOPLECTON BASALE,SIPHLOPLECTON,,
Siphloplecton interlineatum,SIPHLOPLECTON INTERLINEATUM,SIPHLOPLECTON,,
Siphloplecton sp.,SIPHLOPLECTON,SIPHLOPLECTON,,
Siphloplectron,SIPHLOPLECTON,SIPHLOPLECTON,,
Siphlunuris sp,SIPHLONURUS,SIPHLONURUS,,
Siphlunuris sp.,SIPHLONURUS,SIPHLONURUS,,
Siphlunuris sp. (alternatus (Say)),SIPHLONURUS ALTERNATUS,SIPHLONURUS,,
Siphonlurus sp.,SIPHLONURUS,SIPHLONURUS,,
SISYRA,DNI,DNI,,TERRESTRIAL
SISYRA FUSCATA,DNI,DNI,,TERRESTRIAL
Sisyra sp,DNI,DNI,,TERRESTRIAL
Sisyra sp.,DNI,DNI,,TERRESTRIAL
Sisyra vicaria,DNI,DNI,,TERRESTRIAL
Sisyridae,DNI,DNI,,TERRESTRIAL
Skwala,SKWALA,SKWALA,,
SLAVINA,SLAVINA APPENDICULATA,SLAVINA APPENDICULATA,NEARCTIC,
Slavina appendiculata,SLAVINA APPENDICULATA,SLAVINA APPENDICULATA,NEARCTIC,
Slavinia appendiculata,SLAVINA APPENDICULATA,SLAVINA APPENDICULATA,NEARCTIC,
slug,DNI,DNI,,
slug [terrestrial],DNI,DNI,,
small Acroneuria or Eccoptura,DNI,DNI,,
small Lanthus or Stylogomphus,DNI,DNI,,
small larvae,DNI,DNI,,
small Leptophlebiidae,LEPTOPHLEBIIDAE,LEPTOPHLEBIIDAE,,
small nymphs,DNI,DNI,,
small u. d. nymphs,DNI,DNI,,
small u.d. larval case,DNI,DNI,,
small u.d. spiders,DNI,DNI,,
small wasp u.d.,DNI,DNI,,
Smicridea,DNI,SMICRIDEA,,INTERESTING- SW US
SMINTHURIDAE,DNI,COLLEMBOLA,,
Sminthurus sp.,DNI,COLLEMBOLA,,
SMITTIA,SMITTIA,SMITTIA,,
Smittia sp,SMITTIA,SMITTIA,,
Smittia sp.,SMITTIA,SMITTIA,,
Somatochloira sp.,SOMATOCHLORA,SOMATOCHLORA,,
SOMATOCHLORA,SOMATOCHLORA,SOMATOCHLORA,,
Somatochlora albicincta,SOMATOCHLORA ALBICINCTA,SOMATOCHLORA,,
Somatochlora cigulata (Selys),SOMATOCHLORA CINGULATA,SOMATOCHLORA,,
SOMATOCHLORA CINGULATA,SOMATOCHLORA CINGULATA,SOMATOCHLORA,,
Somatochlora elongata,SOMATOCHLORA ELONGATA,SOMATOCHLORA,,
Somatochlora elongata (Scudder),SOMATOCHLORA ELONGATA,SOMATOCHLORA,,
Somatochlora ensigera,SOMATOCHLORA ENSIGERA,SOMATOCHLORA,,
SOMATOCHLORA FORCIPATA,SOMATOCHLORA FORCIPATA,SOMATOCHLORA,,
SOMATOCHLORA FRANKLINI,SOMATOCHLORA FRANKLINI,SOMATOCHLORA,,
SOMATOCHLORA HINEANA,SOMATOCHLORA HINEANA,SOMATOCHLORA,,
SOMATOCHLORA INCURVATA,SOMATOCHLORA INCURVATA,SOMATOCHLORA,,
SOMATOCHLORA KENNEDYI,SOMATOCHLORA KENNEDYI,SOMATOCHLORA,,
Somatochlora linearis,SOMATOCHLORA LINEARIS,SOMATOCHLORA,,
Somatochlora linearis/tenebrosa,SOMATOCHLORA,SOMATOCHLORA,,
Somatochlora minor,SOMATOCHLORA MINOR,SOMATOCHLORA,,
Somatochlora provocans,SOMATOCHLORA PROVOCANS,SOMATOCHLORA,,
Somatochlora sp,SOMATOCHLORA,SOMATOCHLORA,,
Somatochlora sp.,SOMATOCHLORA,SOMATOCHLORA,,
Somatochlora sp. (albicincta (Bur.),SOMATOCHLORA ALBICINCTA,SOMATOCHLORA,,
Somatochlora sp. (albicincta (Burmeister)?),SOMATOCHLORA ALBICINCTA,SOMATOCHLORA,,
Somatochlora sp. (albicincta),SOMATOCHLORA ALBICINCTA,SOMATOCHLORA,,
Somatochlora sp. (elongata (Scudder)),SOMATOCHLORA ELONGATA,SOMATOCHLORA,,
Somatochlora sp. (minor Calvert),SOMATOCHLORA MINOR,SOMATOCHLORA,,
Somatochlora sp. (williamsoni Walker)),SOMATOCHLORA WILLIAMSONI,SOMATOCHLORA,,
Somatochlora sp.(albicincta/hudsonica),SOMATOCHLORA,SOMATOCHLORA,,
Somatochlora tenebrosa,SOMATOCHLORA TENEBROSA,SOMATOCHLORA,,
Somatochlora walshii,SOMATOCHLORA WALSHII,SOMATOCHLORA,,
Somatochlora walshii (Scudder),SOMATOCHLORA WALSHII,SOMATOCHLORA,,
Somatochlora williamsoni,SOMATOCHLORA WILLIAMSONI,SOMATOCHLORA,,
Somatochlora williamsoni (Walker),SOMATOCHLORA WILLIAMSONI,SOMATOCHLORA,,
Somatochlora williamsoni Walker,SOMATOCHLORA WILLIAMSONI,SOMATOCHLORA,,
Somatogyrus,SOMATOGYRUS,TRUNCATELLOIDEA,,
SOMATOGYRUS CRASSILABRIS,SOMATOGYRUS CRASSILABRIS,TRUNCATELLOIDEA,,
SOMATOGYRUS DEPRESSUS,SOMATOGYRUS DEPRESSUS,TRUNCATELLOIDEA,,
SOMATOGYRUS TRYONI,SOMATOGYRUS TRYONI,TRUNCATELLOIDEA,,
SOYEDINA,SOYEDINA,SOYEDINA,,
Soyedina sp,SOYEDINA,SOYEDINA,,
Soyedina sp.,SOYEDINA,SOYEDINA,,
Soyedina vallicularia,SOYEDINA,SOYEDINA,,
SPARBARUS,SPARBARUS,SPARBARUS,,
Sparbarus lacustris,SPARBARUS LACUSTRIS,SPARBARUS,,
Sparbarus maculatus,SPARBARUS MACULATUS,SPARBARUS,,
SPARBARUS NASTUTUS,SPARBARUS NASTUTUS,SPARBARUS,,
Sparbarus sp,SPARBARUS,SPARBARUS,,
Sparganophilidae,DNI,SPARGANOPHILIDAE,,mud worm
SPECARIA,SPECARIA,SPECARIA,,
Specaria josinae,SPECARIA,SPECARIA,,
Spedon sp.,SCIOMYZIDAE,SCIOMYZIDAE,,
SPERCHON,SPERCHON,SPERCHON,,
Sperchon sp.,SPERCHON,SPERCHON,,
Sperchonida,SPERCHONTIDAE,SPERCHONTIDAE,,
SPERCHONIDAE,SPERCHONTIDAE,SPERCHONTIDAE,,
SPERCHONOPSIS,SPERCHONOPSIS,SPERCHONOPSIS,,
Sperchonopsis sp.,SPERCHONOPSIS,SPERCHONOPSIS,,
Sperchonopsis verrucosa,SPERCHONOPSIS,SPERCHONOPSIS,,
Sperchontidae,SPERCHONTIDAE,SPERCHONTIDAE,,
SPERCHOPSIS,SPERCHOPSIS TESSELLATA,SPERCHOPSIS TESSELLATA,NEARCTIC,
Sperchopsis tesselatus,SPERCHOPSIS TESSELLATA,SPERCHOPSIS TESSELLATA,NEARCTIC,
Sperchopsis tessellata,SPERCHOPSIS TESSELLATA,SPERCHOPSIS TESSELLATA,NEARCTIC,
Sperchopsis tessellatus,SPERCHOPSIS TESSELLATA,SPERCHOPSIS TESSELLATA,NEARCTIC,
Sphaeriidae,MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,
Sphaeriidae (Insecta),SPHAERIUSIDAE,SPHAERIUSIDAE,,
Sphaeriidae (Mollusca),SPHAERIIDAE,SPHAERIIDAE,,
SPHAERIUM,MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,
SPHAERIUM CORNEUM,MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,
Sphaerium fabale,MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,
SPHAERIUM NITIDUM,MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,
SPHAERIUM OCCIDENTALE,MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,
Sphaerium rhomboideum,MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,
Sphaerium securis,MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,
Sphaerium simile,MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,
Sphaerium sp,MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,
Sphaerium sp.,MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,
Sphaerium striatinum,MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,
Sphaerium transversum,MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,
Sphaeriumj sp.,MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,
Sphaeriusidae,DNI,DNI,,
SPHAEROMIAS,CERATOPOGONINAE,CERATOPOGONINAE,,
SPHAEROMIAS LONGIPENNIS,CERATOPOGONINAE,CERATOPOGONINAE,,
Sphaeromias sp.,CERATOPOGONINAE,CERATOPOGONINAE,,
Spider,DNI,DNI,,
spiders,DNI,DNI,,
spiders genus ? [terrestrial},DNI,DNI,,
SPINADIS,SPINADIS SIMPLEX,SPINADIS SIMPLEX,NEARCTIC,
SPINADIS SIMPLEX,SPINADIS SIMPLEX,SPINADIS SIMPLEX,NEARCTIC,
SPIONIDAE,DNI,SPIONIDAE,,Estuaries
SPIROSPERMA,SPIROSPERMA,SPIROSPERMA,,
Spirosperma ferox,SPIROSPERMA,SPIROSPERMA,,several species - genus appropriate
Spirosperma nikolskyi,SPIROSPERMA,SPIROSPERMA,,several species - genus appropriate
Spirosperma sp.,SPIROSPERMA,SPIROSPERMA,,
Spongilla,DNI,PORIFERA,,
Spongilla lacustris,DNI,PORIFERA,,
Spongilla sp,DNI,PORIFERA,,
Spongillidae,DNI,PORIFERA,,
STACTOBIELLA,STACTOBIELLA,STACTOBIELLA,,
Stactobiella delira,STACTOBIELLA,STACTOBIELLA,,
Stactobiella palmata,STACTOBIELLA,STACTOBIELLA,,
Stactobiella sp,STACTOBIELLA,STACTOBIELLA,,
Stactobiella sp.,STACTOBIELLA,STACTOBIELLA,,
STAGNICOLA,STAGNICOLA,STAGNICOLA,,maybe has Lymnaea in it too
STAGNICOLA APICINA,STAGNICOLA APICINA,STAGNICOLA,,
Stagnicola caperata,STAGNICOLA CAPERATA,STAGNICOLA,,
Stagnicola catascopium,STAGNICOLA CATASCOPIUM,STAGNICOLA,,
Stagnicola elodes,STAGNICOLA ELODES,STAGNICOLA,,
Stagnicola emarginata,STAGNICOLA EMARGINATA,STAGNICOLA,,
Stagnicola exilis,STAGNICOLA EXILIS,STAGNICOLA,,
Stagnicola sp,STAGNICOLA,STAGNICOLA,,
Stagnicola sp.,STAGNICOLA,STAGNICOLA,,
STAGNICOLA WALKERIANA,STAGNICOLA WALKERIANA,STAGNICOLA,,
STAGNICOLA WOODRUFFI,STAGNICOLA WOODRUFFI,STAGNICOLA,,
STAPHYLINIDAE,DNI,STAPHYLINIDAE,,
Staphylinidae  u.d. adult,DNI,STAPHYLINIDAE,,
Staphylinidae (terrestrial),DNI,DNI,,
Staphylinidae sp.,DNI,STAPHYLINIDAE,,
STEGOPTERNA,STEGOPTERNA,STEGOPTERNA,,
Stegopterna diplomutata/mutata,STEGOPTERNA,STEGOPTERNA,,
STEGOPTERNA EMERGENS,STEGOPTERNA,STEGOPTERNA,,
Stegopterna mutata,STEGOPTERNA,STEGOPTERNA,,
Stegopterna sp,STEGOPTERNA,STEGOPTERNA,,
Stegopterna sp.,STEGOPTERNA,STEGOPTERNA,,
STELECHOMYIA,KRIBIODORUM PERPULCHRUM,KRIBIODORUM PERPULCHRUM,,Non-native to R5
Stelechomyia perpulchra,KRIBIODORUM PERPULCHRUM,KRIBIODORUM PERPULCHRUM,,Non-native to R5
STELECHOMYIA PULPULCHRA,KRIBIODORUM PERPULCHRUM,KRIBIODORUM PERPULCHRUM,,Non-native to R5
Stemelimus crenata (Say),STENELMIS CRENATA,STENELMIS,,
Stemelimus sp.,STENELMIS,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
STEMPELLINA,STEMPELLINA,STEMPELLINA,,
Stempellina bausei,STEMPELLINA,STEMPELLINA,,
STEMPELLINA BAUSEI GROUP,STEMPELLINA BAUSEI GROUP,STEMPELLINA,,
"STEMPELLINA BAUSEI GROUP PINDER, REISS 1983",STEMPELLINA BAUSEI GROUP,STEMPELLINA,,
"STEMPELLINA JOHANNSENI GROUP PINDER, REISS 1983",STEMPELLINA JOHANNSENII GROUP,STEMPELLINA,,
Stempellina johannsenii,STEMPELLINA JOHANNSENII GROUP,STEMPELLINA,,
STEMPELLINA JOHANNSENII GROUP,STEMPELLINA JOHANNSENII GROUP,STEMPELLINA,,
Stempellina poss. subglabripennis,STEMPELLINA,STEMPELLINA,,
Stempellina sp,STEMPELLINA,STEMPELLINA,,
Stempellina sp 2,STEMPELLINA SPECIES 2,STEMPELLINA,,
Stempellina sp. A (Epler 2001),STEMPELLINA SPECIES A,STEMPELLINA,,
Stempellina sp. A (Epler),STEMPELLINA SPECIES A,STEMPELLINA,,
STEMPELLINA SPECIES 2,STEMPELLINA SPECIES 2,STEMPELLINA,,
STEMPELLINA SPECIES A,STEMPELLINA SPECIES A,STEMPELLINA,,
STEMPELLINA SPECIES A EPLER 2001,STEMPELLINA SPECIES A,STEMPELLINA,,
STEMPELLINA SPECIES B,STEMPELLINA SPECIES B,STEMPELLINA,,
STEMPELLINA SPECIES B EPLER 2001,STEMPELLINA SPECIES B,STEMPELLINA,,
STEMPELLINA SPECIES C,STEMPELLINA SPECIES C,STEMPELLINA,,
STEMPELLINA SPECIES C EPLER 2001,STEMPELLINA SPECIES C,STEMPELLINA,,
STEMPELLINELLA,STEMPELLINELLA,STEMPELLINELLA,,
Stempellinella boltoni,STEMPELLINELLA BOLTONI,STEMPELLINELLA,,
STEMPELLINELLA CF. LEPTOCELLOIDES EPLER 2001,STEMPELLINELLA,STEMPELLINELLA,,
Stempellinella fimbriata,STEMPELLINELLA FIMBRIATA,STEMPELLINELLA,,
Stempellinella leptocelloides,STEMPELLINELLA LEPTOCELLOIDES,STEMPELLINELLA,,
Stempellinella sp,STEMPELLINELLA,STEMPELLINELLA,,
Stempellinella sp.,STEMPELLINELLA,STEMPELLINELLA,,
STEMPELLINELLA SPECIES A,STEMPELLINELLA SPECIES A,STEMPELLINELLA,,
STEMPELLINELLA SPECIES A EPLER 2001,STEMPELLINELLA SPECIES A,STEMPELLINELLA,,
STEMPELLINELLA SPECIES B,STEMPELLINELLA SPECIES B,STEMPELLINELLA,,
STEMPELLINELLA SPECIES B EPLER 2001,STEMPELLINELLA SPECIES B,STEMPELLINELLA,,
Stempellinella/Zavrelia,TANYTARSINI,TANYTARSINI,,
STENACRON,STENACRON,STENACRON,,
Stenacron candida/interpunctatum,STENACRON,STENACRON,,
Stenacron candidum,STENACRON,STENACRON,,
Stenacron gildersleevei,STENACRON,STENACRON,,
Stenacron interpunctatum,STENACRON,STENACRON,,
Stenacron minnetonka,STENACRON,STENACRON,,
Stenacron pallidum,STENACRON,STENACRON,,
Stenacron sp,STENACRON,STENACRON,,
Stenacron sp.,STENACRON,STENACRON,,
Stenacron/Stenonema,STENACRON,STENACRON,,
Stenecron interpunctatum,STENACRON,STENACRON,,
STENELMIS,STENELMIS,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis (larvae),STENELMIS,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis antennalis,STENELMIS ANTENNALIS,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis bicarinata,STENELMIS BICARINATA,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
STENELMIS CHERYL,STENELMIS CHERYL,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis concinna,STENELMIS CONCINNA,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis crenata,STENELMIS CRENATA,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis decorata,STENELMIS DECORATA,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis douglasensis,STENELMIS DOUGLASENSIS,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
STENELMIS FUSCATA,STENELMIS FUSCATA,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis grossa,STENELMIS GROSSA,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis humerosa,STENELMIS HUMEROSA,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
STENELMIS KNOBELI,STENELMIS KNOBELI,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis lateralis,STENELMIS LATERALIS,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis markeli,STENELMIS MARKELI,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis mera,STENELMIS MERA,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis mirabilis,STENELMIS MIRABILIS,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis morsei,STENELMIS MORSEI,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis musgravei,STENELMIS MUSGRAVEI,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis quadrimaculata,STENELMIS QUADRIMACULATA,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis sandersoni,STENELMIS SANDERSONI,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis sexlineata,STENELMIS SEXLINEATA,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis sp,STENELMIS,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis sp.,STENELMIS,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis spp,STENELMIS,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis vittipennis,STENELMIS VITTIPENNIS,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
Stenelmis xylonastis,STENELMIS XYLONASTIS,STENELMIS,,sp. are doable but with recent nov.sp. no complete key
STENOCHIRONOMUS,STENOCHIRONOMUS,STENOCHIRONOMUS,,precision low on IDs and keys incomplete
STENOCHIRONOMUS (PETALOPHOLEUS),STENOCHIRONOMUS,STENOCHIRONOMUS,,precision low on IDs and keys incomplete
STENOCHIRONOMUS (STENOCHIRONOMUS),STENOCHIRONOMUS,STENOCHIRONOMUS,,precision low on IDs and keys incomplete
Stenochironomus hilaris,STENOCHIRONOMUS,STENOCHIRONOMUS,,precision low on IDs and keys incomplete
Stenochironomus poecilopterus,STENOCHIRONOMUS,STENOCHIRONOMUS,,precision low on IDs and keys incomplete
Stenochironomus sp,STENOCHIRONOMUS,STENOCHIRONOMUS,,precision low on IDs and keys incomplete
Stenochironomus sp.,STENOCHIRONOMUS,STENOCHIRONOMUS,,precision low on IDs and keys incomplete
Stenochironomus/Xestochironomus,CHIRONOMINI,CHIRONOMINI,,
Stenocron interpuctatum,STENACRON,STENACRON,,precision of IDs not great
Stenogomphurus,STENOGOMPHURUS,STENOGOMPHURUS,,2 NA speceis
Stenoma sp.,MACCAFFERTIUM/STENONEMA,MACCAFFERTIUM/STENONEMA,,problematic as this may represent both MACCAFFERTIUM/STENONEMA
Stenoma tripunctatum,STENONEMA FEMORATUM,STENONEMA FEMORATUM,,
STENONEMA,MACCAFFERTIUM/STENONEMA,MACCAFFERTIUM/STENONEMA,,problematic as this may represent both MACCAFFERTIUM/STENONEMA
STENONEMA ARES,MACCAFFERTIUM TERMINATUM,MACCAFFERTIUM TERMINATUM,,
Stenonema bednariki,MACCAFFERTIUM BEDNARIKI,MACCAFFERTIUM BEDNARIKI,,
Stenonema bipunctata,MACCAFFERTIUM,MACCAFFERTIUM,,
Stenonema exiguum,MACCAFFERTIUM EXIGUUM,MACCAFFERTIUM EXIGUUM,,
Stenonema femoratum,STENONEMA FEMORATUM,STENONEMA FEMORATUM,,
Stenonema integrum,MACCAFFERTIUM MEXICANUM,MACCAFFERTIUM MEXICANUM,,
Stenonema ithaca,MACCAFFERTIUM ITHACA,MACCAFFERTIUM ITHACA,,
Stenonema luteum/vicarium,MACCAFFERTIUM,MACCAFFERTIUM,,
Stenonema mediopunctatum,MACCAFFERTIUM MEDIOPUNCTATUM,MACCAFFERTIUM MEDIOPUNCTATUM,,
Stenonema meririvulanum,MACCAFFERTIUM MERIRIVULANUM,MACCAFFERTIUM MERIRIVULANUM,,
Stenonema mexicanum,MACCAFFERTIUM MEXICANUM,MACCAFFERTIUM MEXICANUM,,
Stenonema modestum,MACCAFFERTIUM MODESTUM,MACCAFFERTIUM MODESTUM,,
Stenonema modestum/smithae,MACCAFFERTIUM,MACCAFFERTIUM,,
STENONEMA NEPOTELLUM,MACCAFFERTIUM MEDIOPUNCTATUM,MACCAFFERTIUM MEDIOPUNCTATUM,,
Stenonema pulchellum,MACCAFFERTIUM PULCHELLUM,MACCAFFERTIUM PULCHELLUM,,
Stenonema smithae,MACCAFFERTIUM SMITHAE,MACCAFFERTIUM SMITHAE,,
Stenonema sp.,MACCAFFERTIUM/STENONEMA,MACCAFFERTIUM/STENONEMA,,problematic as this may represent both MACCAFFERTIUM/STENONEMA
Stenonema sp. (vicarium (Walker)),MACCAFFERTIUM VICARIUM,MACCAFFERTIUM VICARIUM,,
Stenonema terminatum,MACCAFFERTIUM TERMINATUM,MACCAFFERTIUM TERMINATUM,,
Stenonema vicarium,MACCAFFERTIUM VICARIUM,MACCAFFERTIUM VICARIUM,,
Stenonema vicarium (Walker),MACCAFFERTIUM VICARIUM,MACCAFFERTIUM VICARIUM,,
Stenonema/ Maccaffertium,MACCAFFERTIUM/STENONEMA,MACCAFFERTIUM/STENONEMA,,
STENOPELMATIDAE,DNI,DNI,,
Stenopelmatus sp.,DNI,DNI,,
Stenopelmus,DNI,CURCULIONIDAE,,
STENUS,DNI,DNI,,terrestrial
Stenus croceatus (Casey),DNI,DNI,,terrestrial
Stenus pubescens (Stephens),DNI,DNI,,terrestrial
Stenus pubescens Stephens,DNI,DNI,,terrestrial
Stenus sp.,DNI,DNI,,terrestrial
STEPHENSONIANA,STEPHENSONIANA,STEPHENSONIANA,,
STEPHENSONIANA TRIVANDRANA,STEPHENSONIANA,STEPHENSONIANA,,2 NA speceis
Stethophyma,DNI,ORTHOPTERA,,
stickleback,DNI,DNI,,
STICTOCHIRONOMUS,STICTOCHIRONOMUS,STICTOCHIRONOMUS,,
Stictochironomus annulicrus,STICTOCHIRONOMUS ANNULICRUS,STICTOCHIRONOMUS,,
STICTOCHIRONOMUS CAFFRARIUS,STICTOCHIRONOMUS CAFFRARIUS,STICTOCHIRONOMUS,,
STICTOCHIRONOMUS CAFFRARIUS GROUP SP,STICTOCHIRONOMUS,STICTOCHIRONOMUS,,
Stictochironomus devinctus,STICTOCHIRONOMUS DEVINCTUS,STICTOCHIRONOMUS,,
Stictochironomus sp,STICTOCHIRONOMUS,STICTOCHIRONOMUS,,
Stictochironomus sp.,STICTOCHIRONOMUS,STICTOCHIRONOMUS,,
Stictotarsus,BOREONECTES,BOREONECTES,,
STICTOTARSUS GRISEOSTRIATUS,BOREONECTES GRISEOSTRIATUS,BOREONECTES GRISEOSTRIATUS,,
STILOBEZZIA,CERATOPOGONINAE,CERATOPOGONINAE,,
STILOBEZZIA ANTENNALIS,CERATOPOGONINAE,CERATOPOGONINAE,,
STILOBEZZIA BULLA,CERATOPOGONINAE,CERATOPOGONINAE,,
STILOBEZZIA COQUILLETTI,CERATOPOGONINAE,CERATOPOGONINAE,,
STILOBEZZIA LUTEA,CERATOPOGONINAE,CERATOPOGONINAE,,
Stilobezzia sp.,CERATOPOGONINAE,CERATOPOGONINAE,,
STILOBEZZIA SYBLEAE,CERATOPOGONINAE,CERATOPOGONINAE,,
Stilobezzia uncinata,CERATOPOGONINAE,CERATOPOGONINAE,,
STILOCLADIUS,STILOCLADIUS,STILOCLADIUS,,
Stilocladius clinopecten,STILOCLADIUS CLINOPECTEN,STILOCLADIUS,,
Stilocladius sp,STILOCLADIUS,STILOCLADIUS,,
Stilocladius sp.,STILOCLADIUS,STILOCLADIUS,,
STILOCLADIUS SPECIES A,STILOCLADIUS SPECIES A,STILOCLADIUS,,
STILOCLADIUS SPECIES A EPLER 2001,STILOCLADIUS SPECIES A,STILOCLADIUS,,
STILPON,DNI,DNI,,TERRESTRIAL
Stomatochloira sp.(albicincta/hudsonica),SOMATOCHLORA,SOMATOCHLORA,,
Stomatochloria sp.(albicincta/hudsonica),SOMATOCHLORA,SOMATOCHLORA,,
Stononema,MACCAFFERTIUM/STENONEMA,MACCAFFERTIUM/STENONEMA,,problematic as this may represent both MACCAFFERTIUM/STENONEMA
STRATIOMYIDAE,STRATIOMYIDAE,STRATIOMYIDAE,,
STRATIOMYS,STRATIOMYS,STRATIOMYS,,
STRATIOMYS ADELPHA,STRATIOMYS,STRATIOMYS,,
STRATIOMYS BADIUS,STRATIOMYS,STRATIOMYS,,
STRATIOMYS BRUNERI,STRATIOMYS,STRATIOMYS,,
STRATIOMYS DISCALIS,STRATIOMYS,STRATIOMYS,,
STRATIOMYS LATICEPS,STRATIOMYS,STRATIOMYS,,
STRATIOMYS LATIVENTRIS,STRATIOMYS,STRATIOMYS,,
STRATIOMYS MEIGENII,STRATIOMYS,STRATIOMYS,,
STRATIOMYS NORMA,STRATIOMYS,STRATIOMYS,,
STRATIOMYS NORMULA,STRATIOMYS,STRATIOMYS,,
STRATIOMYS OBESA,STRATIOMYS,STRATIOMYS,,
STRATIOMYS OHIOENSIS,STRATIOMYS,STRATIOMYS,,
Stratiomys sp,STRATIOMYS,STRATIOMYS,,
Stratiomys sp.,STRATIOMYS,STRATIOMYS,,
STROPHITUS,DNI,STROPHITUS,,MUSSEL
